ID,Source,Geolocation,Location,State,Sightning date,Post date,Abund,Size,Ecological relation/Other strandings,Human interaction/Accident,Age,Sex,Site,URL 1,URL 2,URL 3,URL 4,URL 5
1,SM,,Peruíbe,SP,,6/19/2013,10+,,,,,,,https://www.instagram.com/p/paSlHTv-I__/,,,,
2,SM,,"Pirui, Arembepe, Bahia",BA,,7/10/2013,,,Scavenging by insects,,,,,https://www.instagram.com/p/bmruL_Qmvh/,,,,
3,SM,"Barra De São Miguel, Al",,AL,,1/28/2014,,,,,,,,https://www.instagram.com/p/ju0YFlAVY2/,,,,
4,SM,,"Praia dos Carneiros, Tamandaré",PE,,2/8/2014,,,,,,,,https://www.instagram.com/p/kKy6gGKZvS/,,,,
5,SM,,"Praia dos Carneiros, Tamandaré",PE,,3/29/2014,,,,,,,,https://www.instagram.com/p/mH-_7ToHGo/,,,,
6,SM,,"Morro de São Paulo, Bahia",BA,,12/17/2014,,,,,,,,https://www.instagram.com/p/wtjgPhpSxg/,,,,
7,SM,,Praia da Corvina,PA,,1/6/2015,,,,,,,,https://www.instagram.com/p/xhGwqyC832/,,,,
8,SM,Praia Do Zumbi,,RN,,1/12/2015,,,,,,,,https://www.instagram.com/p/xwgT05FRau/,,,,
9,SM,,"praia do Leblon, Rio de Janeiro",RJ,1/22/2015 0:00,1/22/2015,,,,1 accident,,F,,https://www.instagram.com/p/yKct2-IqaV/,,,,
10,SM,,"Praia Ponta Verde, Alagoas",AL,,3/18/2015,,,,,,,,https://www.instagram.com/p/0YZ20Bs2lH/,,,,
11,SM,,"Aracaju, Sergipe",SE,,7/1/2015,4,,,,,,,https://www.instagram.com/p/4nHFAFhcI-/,,,,
12,SM,,"Taipu de Fora, Camamu, Bahia",BA,,1/9/2016,,,,,,,,https://www.instagram.com/p/BAVLV0xKi97/,,,,
13,SM,Praia De Boa Viagem,,PE,,3/25/2016,,3 cm,,touching/ holding the jellyfish,,F,,https://www.instagram.com/p/BDY03N6s772/,,,,
14,SM,Praia de Maracaipe - PE,,PE,,3/25/2016,,,,,,,,https://www.instagram.com/p/BOdRV5HAg0x/,,,,
15,SM,Praia de Aleluia - Salvador Bahia,,BA,,5/21/2016,,,,,,,,https://www.instagram.com/p/BFq6fTAqn5m/,,,,
16,SM,praia formosa-cabedelo,,PB,,7/1/2016,,,,,,,,https://www.instagram.com/p/BHVGJHCj1F0/,,,,
17,SM,Praia de Jeribucaçu,Itacaré,BA,,7/11/2016,,,,,,,,https://www.instagram.com/p/BHuL2lLAM2I/,,,,
18,SM,Praia de Boa Viagem,,PE,,7/14/2016,,,,,,,,https://www.instagram.com/p/BH2-VSYBA9P/,,,,
19,SM,Beberibe-Morro Branco,,CE,,8/5/2016,,,,,,,,https://www.instagram.com/p/BItjIXhgo2y/,,,,
20,SM,"Praia Da Caponga, Cascavel, Ceará",,CE,,10/1/2016,,,,,,,,https://www.instagram.com/p/BLB8FsHDy9u/,,,,
21,SM,Praia Nova- CE,,CE,,10/28/2016,,5 cm,,touching/ holding the jellyfish,,M,,https://www.instagram.com/p/BMHC9wbAk4J/,,,,
22,SM,Praia Larangeiras,,SC,,11/25/2016,,,,,,,,https://www.instagram.com/p/BNPhp2ajBkJ/,,,,
23,SM,Praia do Refúgio,,SE,,11/26/2016,,,,,,,,https://www.instagram.com/p/BNSgBWOgN4f/,,,,
24,SM,Praia do Refúgio,Aracaju,SE,,11/26/2016,,,,,,,,https://www.instagram.com/p/BNSd9_TgLbB/,,,,
25,SM,Praia Do Julião Ilhabela,,SC,11/27/2016 0:00,11/28/2016,,,,,,,,https://www.instagram.com/p/BNXoneTg_eA/,,,,
26,SM,Hostel Fran6,,AL,,11/29/2016,,,,,,,,https://www.instagram.com/p/BNaOjUWBoAE/,,,,
27,SM,Barra De Camaratuba,,PB,,12/4/2016,,,,,,,,https://www.instagram.com/p/BNmp2B8AR-Z/,,,,
28,SM,"Praia Cruz Das Almas, Maceió, Alagoas",,AL,,12/10/2016,,,,,,,,https://www.instagram.com/p/BN1NaGjD-2z/,,,,
29,SM,Caça & Pesca Aracaju,,SE,,12/12/2016,marcheio,,,,,,,https://www.instagram.com/p/BN7L6MGDd7l/,,,,
30,SM,Península De Maraú,,BA,,12/21/2016,,,,,,,,https://www.instagram.com/p/BOSvruMjsST/,,,,
31,SM,Praia Do Paiva,,PE,,12/29/2016,,,,,,,,https://www.instagram.com/p/BOnO3NiluZP/,,,,
32,SM,Itacaré,,BA,,1/19/2017,,,,,,,,https://www.instagram.com/p/BPcpH7KgbkX/,,,,
33,SM,,"Praia do Diabo, Rio de Janeiro",RJ,,1/21/2017,,,Umbrella for small fishes (NI),,,,,https://www.instagram.com/p/BPiW0JBDzsW/,,,,
34,SM,Praia do Refúgio,,SE,1/22/2017 0:00,1/22/2017,grandequantidade,,,,,,,https://www.instagram.com/p/BPlXN0hgZ8C/,,,,
35,SM,Itapoá Beach,,SC,,2/17/2017,,,,,,,,https://www.instagram.com/p/BQoHMcTjlMT/,,,,
36,SM,,"Massarandupió, Bahia",BA,,2/13/2017,,,,,,,,https://www.instagram.com/p/BQcBj9-A6Kv/,,,,
37,SM,,"Praia do Atalaia, Aracaju, Sergipe",SE,,7/13/2017,2,,,,,,,https://www.instagram.com/p/BWfCMzTj_cL/,,,,
38,SM,Náufragos,Sergipe,SE,,9/21/2017,,,,,,,,https://www.instagram.com/p/B2sKaLHBXOL/,,,,
39,SM,Praia Do Futuro,,CE,,9/24/2017,,,,,,,,https://www.instagram.com/p/BZbq6qHAPgX/,,,,
40,SM,São Miguel dos Milagres,,AL,10/1/2017 0:00,1/20/2018,,,,,,,,https://www.instagram.com/p/BeOm0uRn6Yj/,,,,
41,SM,João Pessoa,,PB,,10/12/2017,,,,,,,,https://www.instagram.com/p/BaJOPYyh1Ln/,,,,
